,feature_kDNadj,seed
0,0.8812908992306927,42
1,0.9709505944546688,42
2,0.8812908992306927,42
3,0.8812908992306927,42
4,0.8812908992306927,42
5,0.46899559358928117,42
6,1.0,42
7,0.8812908992306927,42
8,1.0,42
9,0.8812908992306927,42
10,0.9709505944546688,42
11,0.9709505944546688,42
12,0.7219280948873623,42
13,0.8812908992306927,42
14,0.9709505944546688,42
15,0.8812908992306927,42
16,0.8812908992306927,42
17,0.9709505944546688,42
18,0.8812908992306927,42
19,0.46899559358928117,42
20,0.8812908992306927,42
21,0.9709505944546688,42
22,0.8812908992306927,42
23,0.9709505944546688,42
24,1.0,42
25,0.9709505944546688,42
26,1.0,42
27,0.8812908992306927,42
28,0.9709505944546688,42
29,0.7219280948873623,42
30,0.8812908992306927,43
31,0.9709505944546688,43
32,0.9709505944546688,43
33,1.0,43
34,0.9709505944546688,43
35,1.0,43
36,1.0,43
37,1.0,43
38,0.9709505944546688,43
39,1.0,43
40,0.8812908992306927,43
41,1.0,43
42,1.0,43
43,0.9709505944546688,43
44,0.8812908992306927,43
45,0.8812908992306927,43
46,0.7219280948873623,43
47,0.8812908992306927,43
48,1.0,43
49,0.46899559358928117,43
50,0.7219280948873623,43
51,0.9709505944546688,43
52,0.7219280948873623,43
53,0.7219280948873623,43
54,0.0,43
55,0.9709505944546688,43
56,0.0,43
57,0.9709505944546688,43
58,0.0,43
59,0.8812908992306927,43
60,0.9709505944546688,44
61,0.9709505944546688,44
62,0.9709505944546688,44
63,0.46899559358928117,44
64,0.46899559358928117,44
65,0.9709505944546688,44
66,0.7219280948873623,44
67,0.8812908992306927,44
68,0.46899559358928117,44
69,1.0,44
70,0.8812908992306927,44
71,0.8812908992306927,44
72,0.46899559358928117,44
73,0.9709505944546688,44
74,0.8812908992306927,44
75,1.0,44
76,0.8812908992306927,44
77,0.9709505944546688,44
78,1.0,44
79,0.7219280948873623,44
80,1.0,44
81,1.0,44
82,0.9709505944546688,44
83,0.9709505944546688,44
84,0.7219280948873623,44
85,0.9709505944546688,44
86,0.9709505944546688,44
87,0.9709505944546688,44
88,1.0,44
89,0.8812908992306927,44
90,0.8812908992306927,45
91,1.0,45
92,0.8812908992306927,45
93,0.7219280948873623,45
94,0.46899559358928117,45
95,0.9709505944546688,45
96,0.46899559358928117,45
97,0.8812908992306927,45
98,0.9709505944546688,45
99,0.9709505944546688,45
100,1.0,45
101,0.9709505944546688,45
102,0.9709505944546688,45
103,0.9709505944546688,45
104,1.0,45
105,0.8812908992306927,45
106,0.8812908992306927,45
107,0.8812908992306927,45
108,0.9709505944546688,45
109,0.7219280948873623,45
110,0.8812908992306927,45
111,0.8812908992306927,45
112,0.7219280948873623,45
113,0.7219280948873623,45
114,0.8812908992306927,45
115,0.7219280948873623,45
116,0.9709505944546688,45
117,0.9709505944546688,45
118,0.8812908992306927,45
119,0.9709505944546688,45
120,0.7219280948873623,46
121,0.9709505944546688,46
122,0.46899559358928117,46
123,1.0,46
124,0.8812908992306927,46
125,0.9709505944546688,46
126,0.46899559358928117,46
127,0.8812908992306927,46
128,0.7219280948873623,46
129,0.9709505944546688,46
130,0.7219280948873623,46
131,0.8812908992306927,46
132,0.8812908992306927,46
133,0.9709505944546688,46
134,0.46899559358928117,46
135,0.9709505944546688,46
136,0.8812908992306927,46
137,1.0,46
138,0.46899559358928117,46
139,0.8812908992306927,46
140,0.8812908992306927,46
141,0.9709505944546688,46
142,0.9709505944546688,46
143,0.8812908992306927,46
144,0.46899559358928117,46
145,0.7219280948873623,46
146,0.8812908992306927,46
147,0.8812908992306927,46
148,0.9709505944546688,46
149,0.9709505944546688,46
